skill_id,skill_name,category_id,explicit,description
S001,Python,CAT01,TRUE,General-purpose high-level programming language
S002,JavaScript,CAT01,TRUE,Dynamic scripting language for web development
S003,TypeScript,CAT01,TRUE,Strongly typed superset of JavaScript
S004,Go,CAT01,TRUE,Statically typed compiled language designed at Google
S005,Rust,CAT01,TRUE,Systems programming language focused on safety and performance
S006,Java,CAT01,TRUE,Class-based object-oriented programming language
S007,React,CAT02,TRUE,JavaScript library for building user interfaces
S008,Vue.js,CAT02,TRUE,Progressive JavaScript framework for frontend apps
S009,Angular,CAT02,TRUE,TypeScript-based web application framework
S010,Next.js,CAT02,TRUE,React framework for production with SSR capabilities
S011,Django,CAT02,TRUE,High-level Python web framework
S012,FastAPI,CAT02,TRUE,Modern high-performance web framework for Python APIs
S013,Node.js,CAT02,TRUE,JavaScript runtime environment executing code outside a browser
S014,Docker,CAT03,TRUE,Platform designed to create deploy and run applications using containers
S015,Kubernetes,CAT03,TRUE,Open-source container orchestration system
S016,Terraform,CAT03,TRUE,Infrastructure as Code tool for building and changing infrastructure safely
S017,GitHub Actions,CAT03,TRUE,CI/CD automation platform integrated into GitHub
S018,Ansible,CAT03,TRUE,Open-source IT automation engine for configuration management
S019,PostgreSQL,CAT04,TRUE,Powerful open-source object-relational database system
S020,MongoDB,CAT04,TRUE,Source-available document-oriented NoSQL database
S021,Redis,CAT04,TRUE,In-memory data structure store used as a database cache and message broker
S022,Amazon Web Services,CAT05,TRUE,Comprehensive evolving cloud computing platform provided by Amazon
S023,Google Cloud Platform,CAT05,TRUE,Suite of cloud computing services offered by Google
S024,Microsoft Azure,CAT05,TRUE,Cloud computing platform and infrastructure managed by Microsoft
S025,PyTorch,CAT06,TRUE,Open-source machine learning library based on the Torch library
S026,TensorFlow,CAT06,TRUE,End-to-end open-source platform for machine learning
S027,Apache Kafka,CAT07,TRUE,Distributed event store and stream-processing platform
S028,GraphQL,CAT07,TRUE,Data query and manipulation language for APIs
